attempt_id,version,student_id,skill_id,task_id,matched_task_set_id,checkpoint_id,timestamp,assistance,task_type,response_text,correctness,time_taken_seconds,hint_count,rubric_version,synthetic,similarity_to_prior
widening-cp1-assisted,1,demo-widening,python.loops,loops-set-1-assisted,loops-set-1,week-1,2026-09-07T10:00:00Z,assisted,written,Synthetic explanation: range excludes the stop value.,0.85,180,2,loops-rubric-v1,true,
widening-cp1-unassisted,1,demo-widening,python.loops,loops-set-1-unassisted,loops-set-1,week-1,2026-09-07T10:00:00Z,unassisted,written,Synthetic attempt: I included the stop value when tracing the loop.,0.75,300,0,loops-rubric-v1,true,
widening-cp2-assisted,1,demo-widening,python.loops,loops-set-2-assisted,loops-set-2,week-2,2026-09-14T10:00:00Z,assisted,written,Synthetic explanation: range excludes the stop value.,0.85,180,2,loops-rubric-v1,true,
widening-cp2-unassisted,1,demo-widening,python.loops,loops-set-2-unassisted,loops-set-2,week-2,2026-09-14T10:00:00Z,unassisted,written,Synthetic attempt: I included the stop value when tracing the loop.,0.6,300,0,loops-rubric-v1,true,
widening-cp3-assisted,1,demo-widening,python.loops,loops-set-3-assisted,loops-set-3,week-3,2026-09-21T10:00:00Z,assisted,written,Synthetic explanation: range excludes the stop value.,0.85,180,2,loops-rubric-v1,true,
widening-cp3-unassisted,1,demo-widening,python.loops,loops-set-3-unassisted,loops-set-3,week-3,2026-09-21T10:00:00Z,unassisted,written,Synthetic attempt: I included the stop value when tracing the loop.,0.45,300,0,loops-rubric-v1,true,
narrowing-cp1-assisted,1,demo-narrowing,python.loops,loops-set-1-assisted,loops-set-1,week-1,2026-09-07T10:00:00Z,assisted,written,Synthetic explanation: range excludes the stop value.,0.85,180,2,loops-rubric-v1,true,
narrowing-cp1-unassisted,1,demo-narrowing,python.loops,loops-set-1-unassisted,loops-set-1,week-1,2026-09-07T10:00:00Z,unassisted,written,Synthetic attempt: I included the stop value when tracing the loop.,0.45,300,0,loops-rubric-v1,true,
narrowing-cp2-assisted,1,demo-narrowing,python.loops,loops-set-2-assisted,loops-set-2,week-2,2026-09-14T10:00:00Z,assisted,written,Synthetic explanation: range excludes the stop value.,0.85,180,2,loops-rubric-v1,true,
narrowing-cp2-unassisted,1,demo-narrowing,python.loops,loops-set-2-unassisted,loops-set-2,week-2,2026-09-14T10:00:00Z,unassisted,written,Synthetic attempt: I included the stop value when tracing the loop.,0.6,300,0,loops-rubric-v1,true,
narrowing-cp3-assisted,1,demo-narrowing,python.loops,loops-set-3-assisted,loops-set-3,week-3,2026-09-21T10:00:00Z,assisted,written,Synthetic explanation: range excludes the stop value.,0.85,180,2,loops-rubric-v1,true,
narrowing-cp3-unassisted,1,demo-narrowing,python.loops,loops-set-3-unassisted,loops-set-3,week-3,2026-09-21T10:00:00Z,unassisted,written,Synthetic attempt: I included the stop value when tracing the loop.,0.75,300,0,loops-rubric-v1,true,
stable-cp1-assisted,1,demo-stable,python.loops,loops-set-1-assisted,loops-set-1,week-1,2026-09-07T10:00:00Z,assisted,written,Synthetic explanation: range excludes the stop value.,0.85,180,2,loops-rubric-v1,true,
stable-cp1-unassisted,1,demo-stable,python.loops,loops-set-1-unassisted,loops-set-1,week-1,2026-09-07T10:00:00Z,unassisted,written,Synthetic attempt: I included the stop value when tracing the loop.,0.7,300,0,loops-rubric-v1,true,
stable-cp2-assisted,1,demo-stable,python.loops,loops-set-2-assisted,loops-set-2,week-2,2026-09-14T10:00:00Z,assisted,written,Synthetic explanation: range excludes the stop value.,0.85,180,2,loops-rubric-v1,true,
stable-cp2-unassisted,1,demo-stable,python.loops,loops-set-2-unassisted,loops-set-2,week-2,2026-09-14T10:00:00Z,unassisted,written,Synthetic attempt: I included the stop value when tracing the loop.,0.7,300,0,loops-rubric-v1,true,
stable-cp3-assisted,1,demo-stable,python.loops,loops-set-3-assisted,loops-set-3,week-3,2026-09-21T10:00:00Z,assisted,written,Synthetic explanation: range excludes the stop value.,0.85,180,2,loops-rubric-v1,true,
stable-cp3-unassisted,1,demo-stable,python.loops,loops-set-3-unassisted,loops-set-3,week-3,2026-09-21T10:00:00Z,unassisted,written,Synthetic attempt: I included the stop value when tracing the loop.,0.7,300,0,loops-rubric-v1,true,
sparse-cp1-assisted,1,demo-sparse,python.loops,loops-set-1-assisted,loops-set-1,week-1,2026-09-07T10:00:00Z,assisted,written,Synthetic explanation: range excludes the stop value.,0.85,180,2,loops-rubric-v1,true,
sparse-cp1-unassisted,1,demo-sparse,python.loops,loops-set-1-unassisted,loops-set-1,week-1,2026-09-07T10:00:00Z,unassisted,written,Synthetic attempt: I included the stop value when tracing the loop.,0.75,300,0,loops-rubric-v1,true,
sparse-cp2-assisted,1,demo-sparse,python.loops,loops-set-2-assisted,loops-set-2,week-2,2026-09-14T10:00:00Z,assisted,written,Synthetic explanation: range excludes the stop value.,0.85,180,2,loops-rubric-v1,true,
sparse-cp2-unassisted,1,demo-sparse,python.loops,loops-set-2-unassisted,loops-set-2,week-2,2026-09-14T10:00:00Z,unassisted,written,Synthetic attempt: I included the stop value when tracing the loop.,0.6,300,0,loops-rubric-v1,true,
